Author                                                                 ;Definition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Interpretation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Origin                                                                                                                                                  ;Discipline                                        ;Year ;Title                                                                                                                                                                    ;Doi                                                                     ;Search Keys                                                              ;Url
P Haggard                                                              ;The sense of agency refers to the experience of controlling one's own actions, and, through them, events in the outside world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Haggard emphasizes the subjective experience of control over actions and their consequences, highlighting the importance of intentionality and the feeling of being the author of one's actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;British                                                                                                                                                 ;Neuroscience                                      ;2012 ;Sense of agency in the human brain                                                                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.nature.com/articles/nrn.2017.14
P Haggard, V Chambon                                                   ;Sense of agency refers to the feeling of controlling one's own actions, and, through these actions, events in the outside world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;This collaboration underscores the subjective feeling of control and the intentional aspect of actions, suggesting that agency involves a conscious awareness of initiating and regulating actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;British                                                                                                                                                 ;Biology                                           ;2012 ;Sense of agency                                                                                                                                                          ;na                                                                      ;Agency                                                                   ;https://www.cell.com/current-biology/pdf/S0960-9822(12)00191-1.pdf
S Gallagher                                                            ;Human agency is the realized capacity of people to act upon their decisions, according to their own motivations and goals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Gallagher focuses on the capacity for intentional action driven by personal motivations and goals, emphasizing the role of self-determination and autonomy in human agency.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;American                                                                                                                                                ;Psychology                                        ;2004 ;Multiple aspects in the sense of agency                                                                                                                                  ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S0732118X10000218
F De Vignemont, P Fourneret                                            ;The sense of agency involves a primitive notion of the self used as subject, which does not rely on any prior perceptual identification and which is immune to error through misidentification.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;They highlight a fundamental, pre-reflective sense of self as the agent of actions, suggesting that this basic sense of agency is robust against errors in self-identification.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;French, French                                                                                                                                          ;Cognitive                                  ;2007 ;The sense of agency: A philosophical and empirical review of the “Who” system                                                                                            ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S1053810003000229
E Pacherie                                                             ;Agency refers to the capacity of individuals to initiate and control their own actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Pacherie emphasizes the initiation and control aspects of agency, focusing on the individual's ability to direct their actions intentionally.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;French                                                                                                                                                  ;Entomology                                        ;2016 ;The sense of control and the sense of agency                                                                                                                             ;na                                                                      ;Agency                                                                   ;https://hal.science/ijn_00352565/
JW Moore                                                               ;The sense of agency refers to the subjective experience of controlling one's own actions, and through them, events in the external world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Moore's work centers on the subjective experience of agency, particularly the feeling of control over one's actions and their outcomes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;British                                                                                                                                                 ;Psychology                                        ;2012 ;What is the sense of agency and why does it matter?                                                                                                                      ;na                                                                      ;Agency                                                                   ;https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01272/full
JW Moore, SS Obhi                                                      ;The sense of agency refers to the subjective awareness that one is the cause of an action.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;This collaboration highlights the awareness of being the causal agent of one's actions, emphasizing the subjective experience of initiating and controlling actions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"British; Indian                                                                                                                                      " ;Cognitive                                  ;2009 ;Intentional binding and the sense of agency: a review                                                                                                                    ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S1053810011002881
JW Moore, DM Wegner, P Haggard                                         ;The experience of agency involves the experience of intending to do something and then doing it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;They focus on the intentional aspect of agency, where the experience of agency is tied to the alignment between intention and action.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;"British; American; British                                                                                                                           " ;                                                  ;2012 ;Modulating the sense of agency with external cues                                                                                                                        ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S105381000900083X
JW Moore, D Middleton, P Haggard                                       ;The sense of agency refers to the feeling that one is the author of their own actions and their consequences.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;This definition emphasizes the authorship and responsibility aspects of agency, where individuals feel they are the originators of their actions and their effects.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;"British; British; British                                                                                                                            " ;Philosophy                                        ;2014 ;Exploring implicit and explicit aspects of sense of agency                                                                                                               ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S1053810012002073
V Chambon, N Sidarus, P Haggard                                        ;Sense of agency refers to the feeling of controlling one's own actions, and, through these actions, events in the outside world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;This collaboration reiterates the importance of the subjective feeling of control and the intentional nature of actions in the concept of agency.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;"French; French; British                                                                                                                              " ;Neuroscience                                      ;2018 ;From action intentions to action effects: how does the sense of agency come about?                                                                                       ;na                                                                      ;Agency                                                                   ;https://www.frontiersin.org/articles/10.3389/fnhum.2014.00320/full
C Jeunet, L Albert, F Argelaguet                                       ;The Sense of Agency (SoA) is the sense that “I am the one who is causing or generating an action”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Their work likely involves the application of agency concepts in human-computer interaction and virtual environments, focusing on how users experience control and authorship in these contexts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                                                                                                                                        ;Psychiatry, Neuro-Cognitive                         ;2008 ;“Do you feel in control?”: towards novel approaches to characterise, manipulate and measure the sense of agency in virtual environments                                  ;na                                                                      ;Agency                                                                   ;https://ieeexplore.ieee.org/abstract/document/8260944/
K Engbert, A Wohlschläger, P Haggard                                   ;Who is causing what? The sense of agency is relational and efferent-triggered                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Their research may explore the neural and cognitive mechanisms underlying the sense of agency, particularly in relation to motor control and action execution.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"German; German; British                                                                                                                              " ;Neuroscience                                      ;2012 ;Who is causing what? The sense of agency is relational and efferent-triggered                                                                                            ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S0010027707002144
JW Moore, PC Fletcher                                                  ;Sense of agency seems to be a pre-requisite for self-regulation, and lack of as a mental disorder symptom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Their work likely examines the neural correlates of agency, focusing on how brain activity relates to the subjective experience of control and intentionality.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"British; British                                                                                                                                     " ;Psychiatry, Neuro-Cognitive                 ;2007 ;Sense of agency in health and disease: a review of cue integration approaches                                                                                            ;na                                                                      ;Agency                                                                   ;https://www.sciencedirect.com/science/article/pii/S1053810011002005
J Hohwy                                                                ;The sense of self as a phenomenon of external affectation through perception                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Hohwy's work in philosophy of mind and Cognitive  may explore the predictive coding framework and its implications for understanding agency and self-awareness.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Danish                                                                                                                                                  ;Computer Science                                  ;2009 ;The sense of self in the phenomenology of agency and perception                                                                                                          ;na                                                                      ;Agency                                                                   ;https://journalpsyche.org/files/0xab11.pdf
J Proust                                                               ;Agency and sense of agency may also relate to internal processes regulation, such as thoughts and mental problem-solving with a mirrored expression on the external “world”, perhaps even conditioning the external response.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Proust's research likely involves the metacognitive aspects of agency, examining how individuals reflect on and regulate their own actions and decisions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;French                                                                                                                                                  ;Cognitive                                  ;2013 ;Is there a sense of agency for thought                                                                                                                                   ;na                                                                      ;Agency                                                                   ;https://books.google.com/books?hl=en&lr=&id=CRr3fAcWo3sC&oi=fnd&pg=PA253&dq=sense+of+agency&ots=O1nZOkO67t&sig=d1xZwhpCJi7sRyUGyYPRvciTtGE
